metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
browser_data_sent,1723546850,375.000000,,,,,,GET,,,order_rule_01_01_sku,,,,,https://media.hcdn.vn/hsk/icon/hasaki-dat-hen.png,,
browser_data_sent,1723546850,376.000000,,,,,,GET,,,order_rule_01_01_sku,,,,,https://media.hcdn.vn/hsk/icon/hasaki-cam-nang.png,,
browser_data_sent,1723546850,383.000000,,,,,,GET,,,order_rule_01_01_sku,,,,,https://beta.hasaki.vn/images/graphics/loadding_hasaki.png,,
browser_data_sent,1723546850,397.000000,,,,,,GET,,,order_rule_01_01_sku,,,,,https://media.hcdn.vn/hsk/1721576089unilever-sub-banner-web-427x140.jpg,,
browser_data_sent,1723546850,400.000000,,,,,,GET,,,order_rule_01_01_sku,,,,,https://media.hcdn.vn/hsk/1721576196sunplay-sub-banner-desktop-427x140.jpg,,
browser_data_sent,1723546850,403.000000,,,,,,GET,,,order_rule_01_01_sku,,,,,https://media.hcdn.vn/hsk/1721576290loreal-cpd-sub-banner-desktop-427x140.jpg,,
browser_data_sent,1723546850,378.000000,,,,,,GET,,,order_rule_01_01_sku,,,,,https://beta.hasaki.vn/images/graphics/empty-lazy.gif,,
browser_data_sent,1723546850,400.000000,,,,,,GET,,,order_rule_01_01_sku,,,,,https://media.hcdn.vn/hsk/1723258661mpop_img_410x410_8c5088_fit_center.jpg,,
browser_data_sent,1723546850,406.000000,,,,,,GET,,,order_rule_01_01_sku,,,,,https://media.hcdn.vn/hsk/1723258989popcarslan_img_410x410_8c5088_fit_center.jpg,,
browser_data_sent,1723546850,405.000000,,,,,,GET,,,order_rule_01_01_sku,,,,,https://media.hcdn.vn/hsk/1723260409popcerave_img_410x410_8c5088_fit_center.jpg,,
browser_data_sent,1723546850,368.000000,,,,,,GET,,,order_rule_01_01_sku,,,,,https://beta.hasaki.vn//img/placeholder.svg,,
browser_data_sent,1723546850,437.000000,,,,,,GET,,,order_rule_01_01_sku,,,,,https://media.hcdn.vn/catalog/product/a/v/avt-mun-trai-nghiem-149k-1717467737_img_220x220_0dff4c_fit_center.jpg,,
browser_data_sent,1723546850,379.000000,,,,,,GET,,,order_rule_01_01_sku,,,,,https://beta.hasaki.vn/images/graphics/icon_person.svg,,
browser_data_sent,1723546850,383.000000,,,,,,GET,,,order_rule_01_01_sku,,,,,https://beta.hasaki.vn/images/graphics/icon_timer_gray.svg,,
browser_data_sent,1723546850,427.000000,,,,,,GET,,,order_rule_01_01_sku,,,,,https://media.hcdn.vn/catalog/product/a/v/avt-ipl-co-ban-1718260687_img_220x220_0dff4c_fit_center.jpg,,
browser_data_sent,1723546850,427.000000,,,,,,GET,,,order_rule_01_01_sku,,,,,https://media.hcdn.vn/catalog/product/t/r/trainghiempeel-1697594982_img_220x220_0dff4c_fit_center.jpg,,
browser_data_sent,1723546850,422.000000,,,,,,GET,,,order_rule_01_01_sku,,,,,https://media.hcdn.vn/catalog/product/9/0/900190004-1668740987_img_220x220_0dff4c_fit_center.jpg,,
browser_data_sent,1723546850,424.000000,,,,,,GET,,,order_rule_01_01_sku,,,,,https://media.hcdn.vn/catalog/product/t/r/trai-nghiem-1663818765_img_220x220_0dff4c_fit_center.jpg,,
browser_data_sent,1723546850,435.000000,,,,,,GET,,,order_rule_01_01_sku,,,,,https://media.hcdn.vn/catalog/product/a/v/avt-seo-ro-trai-nghiem-1718179876_img_220x220_0dff4c_fit_center.jpg,,
browser_data_sent,1723546850,426.000000,,,,,,GET,,,order_rule_01_01_sku,,,,,https://media.hcdn.vn/catalog/product/a/v/avt-tl-bikini-1663753315_img_220x220_0dff4c_fit_center.jpg,,
browser_data_sent,1723546850,439.000000,,,,,,GET,,,order_rule_01_01_sku,,,,,https://media.hcdn.vn/catalog/product/a/v/avata-tre-hoa-picosure-pro-1686365351_img_220x220_0dff4c_fit_center.jpg,,
browser_data_sent,1723546850,438.000000,,,,,,GET,,,order_rule_01_01_sku,,,,,https://media.hcdn.vn/catalog/product/a/v/avt-dieu-tri-mun-ipl-700k-1716968438_img_220x220_0dff4c_fit_center.jpg,,
browser_data_sent,1723546850,468.000000,,,,,,GET,,,order_rule_01_01_sku,,,,,https://media.hcdn.vn/catalog/product/1/-/1-dieu-tri-nam-bang-laser-revlite-dien-di-matrix-repair-1709621710_img_220x220_0dff4c_fit_center.jpg,,
